country, nMesurements,meanRTT,percentile25RTT,medianRTT,percentile75RTT,percentile90RTT,maxRTT
TZ,10,275.7721,269.80449999999996,274.269,284.313,297.25649999999996,305.379
QA,2,239.5495,236.68425,239.5495,242.41475,244.1339,245.28
GL,1,153.633,153.633,153.633,153.633,153.633,153.633
CN,23,172.72530434782607,157.339,167.516,175.6945,236.2382,262.578
YE,2,232.1155,227.32825000000003,232.1155,236.90274999999997,239.7751,241.69
GH,4,266.30725,228.15425,282.9545,321.10749999999996,321.5512,321.847
SV,3,75.41766666666666,62.7085,94.848,97.842,99.6384,100.836
OM,5,243.1954,244.985,245.547,248.13,249.3324,250.134
PK,3,275.54733333333337,267.8355,271.749,281.36,287.1266,290.971
BJ,8,258.320375,253.94250000000002,256.027,262.0475,268.5395,272.4
WS,2,180.0985,164.84775000000002,180.0985,195.34924999999998,204.4997,210.6
MT,6,179.65316666666664,162.5815,191.978,194.39700000000002,194.56799999999998,194.64
BH,7,260.00257142857146,247.7465,257.537,269.10850000000005,284.88960000000003,302.487
MC,4,167.83125,161.26325,167.8,174.368,174.59480000000002,174.746
IQ,6,221.55433333333335,213.83350000000002,223.1105,228.24300000000002,229.945,230.811
CM,7,261.66414285714285,252.749,260.084,270.332,288.1744,300.529
